Offset,SLP,R1p,R1p err,R2eff,R2eff err,Sim R1p, Sim R2eff,Residual R1p, Residual R2eff
494.0,150.0,2.367974113747498,0.1161279407655979,7.7536990222089415,1.375656747551085,2.4278970413534635,8.463548685870439,-0.059922927605965626,-0.7098496636614975
532.0,150.0,2.2867394534608225,0.12634327486147895,7.511067464243734,1.7155956759457112,2.3346441073654685,8.16155730777987,-0.04790465390464593,-0.6504898435361355
190.0,150.0,4.751667020967509,0.14270538845149658,9.372874731333882,0.3716682561447867,4.63400859174336,9.066439888998987,0.11765842922414915,0.3064348423348946
228.0,150.0,4.187465781435318,0.1376036917873399,9.538474340547719,0.45552326129280996,4.118623666920646,9.310579404658348,0.06884211451467159,0.2278949358893705
266.0,150.0,3.7651653220272276,0.13922739583249233,9.720469580557822,0.5770573344779956,3.705813321697148,9.474472685323068,0.05935200033007959,0.24599689523475377
304.0,150.0,3.3809484201843563,0.12221523009168317,9.581181038278896,0.6241993502762606,3.3713307332733886,9.532059877876197,0.009617686910967649,0.04912116040269865
342.0,150.0,3.2434309473446707,0.12961810554416422,10.375729523810747,0.8034248654049476,3.0978027218568442,9.473067530947006,0.1456282254878265,0.9026619928637416
380.0,150.0,2.8236638298093197,0.11947315908885729,8.93499863557514,0.8862253445302349,2.873987273263598,9.308286756131542,-0.050323443454278305,-0.3732881205564027
418.0,150.0,2.6980533685652124,0.1330080915011777,9.11733905107894,1.1658839039212565,2.691902511584571,9.063423645872273,0.006150856980641439,0.05391540520666638
456.0,150.0,2.5794179940502695,0.11325041023909332,9.122517798602196,1.1598654015046979,2.5451655086941525,8.771717544578987,0.034252485356117024,0.35080025402320913
152.0,150.0,5.256299647410437,0.1664663104010588,8.732051790993243,0.3374013164235505,5.277436395452743,8.774892691336415,-0.021136748042306586,-0.04284090034317245
114.0,150.0,5.985933715368589,0.1599311114500962,8.362480933786546,0.25230732142367174,6.051410915237776,8.465777764300174,-0.06547719986918654,-0.10329683051362792
10.0,150.0,7.832327957729413,0.2001669631230561,7.8588209135066185,0.20105659407026968,7.654893370660515,7.680597728272969,0.17743458706889825,0.17822318523364977
