,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,norm_intensity,norm_intensity_error,norm_volume,norm_volume_error,offset(hz),slp(hz),trelax(s)
0,0,357,363,1,0.5269416583064964,0.002171328042049177,0.5496978049853646,0.0041687158285195255,-3332.6043333333337,10.004875721698632,0.08
1,1,358,364,2,0.5265247475088097,0.002171328042049177,0.5461419003864402,0.0041687158285195255,-3032.7743333333337,10.004875721698632,0.08
2,2,359,365,3,0.5310072301421369,0.002171328042049177,0.5504030707727392,0.0041687158285195255,-2732.9443333333343,10.004875721698632,0.08
3,3,360,366,4,0.5316638152514795,0.002171328042049177,0.5475242213296945,0.0041687158285195255,-2433.114333333334,10.004875721698632,0.08
4,4,361,367,5,0.5334494185115244,0.002171328042049177,0.5448633217654577,0.0041687158285195255,-2358.156833333333,10.004875721698632,0.08
5,5,362,368,6,0.5271103985061288,0.002171328042049177,0.5491194870397174,0.0041687158285195255,-2283.199333333333,10.004875721698632,0.08
6,6,363,369,7,0.5301141321300308,0.002171328042049177,0.5462515578411222,0.0041687158285195255,-2208.241833333333,10.004875721698632,0.08
7,7,364,370,8,0.5329414196201251,0.002171328042049177,0.5491422375489875,0.0041687158285195255,-2133.284333333334,10.004875721698632,0.08
8,8,365,371,9,0.5305863675833347,0.002171328042049177,0.5476197734686291,0.0041687158285195255,-2058.326833333333,10.004875721698632,0.08
9,9,366,372,10,0.5286992040626212,0.002171328042049177,0.5502993284504674,0.0041687158285195255,-1983.369333333333,10.004875721698632,0.08
10,10,367,373,11,0.5303328621077745,0.002171328042049177,0.5462966038494772,0.0041687158285195255,-1908.411833333333,10.004875721698632,0.08
11,11,368,374,12,0.5308345381813889,0.002171328042049177,0.5481339349781345,0.0041687158285195255,-1833.454333333334,10.004875721698632,0.08
12,12,369,375,13,0.5317489757035189,0.002171328042049177,0.5534038629454721,0.0041687158285195255,-1758.4968333333334,10.004875721698632,0.08
13,13,370,376,14,0.5288428505791701,0.002171328042049177,0.5517781115530271,0.0041687158285195255,-1683.5393333333332,10.004875721698632,0.08
14,14,371,377,15,0.5316958245165152,0.002171328042049177,0.5424089968253939,0.0041687158285195255,-1608.5818333333334,10.004875721698632,0.08
15,15,372,378,16,0.5344727270523866,0.002171328042049177,0.5520156268698074,0.0041687158285195255,-1533.6243333333332,10.004875721698632,0.08
16,16,373,379,17,0.5299957768846212,0.002171328042049177,0.5496768745168361,0.0041687158285195255,-1458.6668333333334,10.004875721698632,0.08
17,17,374,380,18,0.5363760927936738,0.002171328042049177,0.5426210315717918,0.0041687158285195255,-1383.7093333333332,10.004875721698632,0.08
18,18,375,381,19,0.5299505292198485,0.002171328042049177,0.5512680451351903,0.0041687158285195255,-1308.7518333333335,10.004875721698632,0.08
19,19,376,382,20,0.5274020384764538,0.002171328042049177,0.5546282953543915,0.0041687158285195255,-1233.7943333333333,10.004875721698632,0.08
20,20,377,383,21,0.5284954907771164,0.002171328042049177,0.54718614876194,0.0041687158285195255,-1158.8368333333335,10.004875721698632,0.08
21,21,378,384,22,0.5313156650972027,0.002171328042049177,0.5540945684069137,0.0041687158285195255,-1083.8793333333333,10.004875721698632,0.08
22,22,379,385,23,0.5261428097969953,0.002171328042049177,0.5501104992235252,0.0041687158285195255,-1008.9218333333338,10.004875721698632,0.08
23,23,380,386,24,0.5302729929268745,0.002171328042049177,0.5490607907258004,0.0041687158285195255,-933.9643333333332,10.004875721698632,0.08
