,Unnamed: 0,Unnamed: 0.1,norm_intensity,norm_intensity_error,norm_volume,norm_volume_error,offset(hz),slp(hz),trelax(s)
262,283,3,0.5232876189772903,0.0011811910781860438,0.4906281541372878,0.0004822534308456413,-3418.60074276,10.004875721698632,0.08
263,284,4,0.5255216417063271,0.0011811910781860438,0.488688317724785,0.0004822534308456413,-3161.6032572399986,10.004875721698632,0.08
264,285,5,0.5231786870376194,0.0011811910781860438,0.4899685560219562,0.0004822534308456413,-2904.6063713799995,10.004875721698632,0.08
265,286,6,0.5242009949321149,0.0011811910781860438,0.4910343017887513,0.0004822534308456413,-2647.60888586,10.004875721698632,0.08
266,287,7,0.5241622873749004,0.0011811910781860438,0.4905390434618289,0.0004822534308456413,-2390.612,10.004875721698632,0.08
267,288,8,0.5217951596072208,0.0011811910781860438,0.4909783277463776,0.0004822534308456413,-2330.646,10.004875721698632,0.08
268,289,9,0.5246091837172862,0.0011811910781860438,0.4887604122913624,0.0004822534308456413,-2270.6799999999994,10.004875721698632,0.08
269,290,10,0.522686198394641,0.0011811910781860438,0.4925796331506042,0.0004822534308456413,-2210.714,10.004875721698632,0.08
270,291,11,0.5240617701215805,0.0011811910781860438,0.4922711042290404,0.0004822534308456413,-2150.748,10.004875721698632,0.08
271,292,12,0.5258684797782848,0.0011811910781860438,0.4927005370821314,0.0004822534308456413,-2090.782,10.004875721698632,0.08
272,293,13,0.5235247601380907,0.0011811910781860438,0.489760332584326,0.0004822534308456413,-2030.816,10.004875721698632,0.08
273,294,14,0.5231233031020002,0.0011811910781860438,0.4906062123126773,0.0004822534308456413,-1970.8499999999995,10.004875721698632,0.08
274,295,15,0.5249176202206239,0.0011811910781860438,0.4921040776865973,0.0004822534308456413,-1910.884,10.004875721698632,0.08
275,296,16,0.5228573990133092,0.0011811910781860438,0.4927972602273532,0.0004822534308456413,-1850.918,10.004875721698632,0.08
276,297,17,0.5241506598083063,0.0011811910781860438,0.4924372351868056,0.0004822534308456413,-1790.9520000000002,10.004875721698632,0.08
277,298,18,0.5226376992024,0.0011811910781860438,0.4892928373824209,0.0004822534308456413,-1730.986,10.004875721698632,0.08
278,299,19,0.5227798309045829,0.0011811910781860438,0.4959416580317377,0.0004822534308456413,-1671.0199999999993,10.004875721698632,0.08
279,300,20,0.5246928715979041,0.0011811910781860438,0.4919580973840867,0.0004822534308456413,-1611.0539999999999,10.004875721698632,0.08
280,301,21,0.5237117191693798,0.0011811910781860438,0.4926557578482325,0.0004822534308456413,-1551.0879999999993,10.004875721698632,0.08
281,302,22,0.521993287222212,0.0011811910781860438,0.4914243289160112,0.0004822534308456413,-1491.1219999999994,10.004875721698632,0.08
282,303,23,0.5224668045723264,0.0011811910781860438,0.4919388423135102,0.0004822534308456413,-1431.156,10.004875721698632,0.08
283,304,24,0.5219157191134858,0.0011811910781860438,0.4931205662961036,0.0004822534308456413,-1371.1899999999996,10.004875721698632,0.08
284,305,25,0.5227316377009363,0.0011811910781860438,0.4899837809614818,0.0004822534308456413,-1311.2239999999993,10.004875721698632,0.08
285,306,26,0.5234224069532033,0.0011811910781860438,0.4945087225469712,0.0004822534308456413,-1251.2579999999996,10.004875721698632,0.08
286,307,27,0.5217532391697632,0.0011811910781860438,0.490061696828466,0.0004822534308456413,-1191.2919999999995,10.004875721698632,0.08
287,308,28,0.5263917202750185,0.0011811910781860438,0.4918425669606274,0.0004822534308456413,-1131.326,10.004875721698632,0.08
288,309,29,0.5236678098060573,0.0011811910781860438,0.4901414038648062,0.0004822534308456413,-1071.3599999999997,10.004875721698632,0.08
289,310,30,0.5259093292556614,0.0011811910781860438,0.4915412027164874,0.0004822534308456413,-1011.3939999999992,10.004875721698632,0.08
290,311,31,0.5213222542342957,0.0011811910781860438,0.48954718343096704,0.0004822534308456413,-951.428,10.004875721698632,0.08
291,312,32,0.5258103419453144,0.0011811910781860438,0.4916809139262522,0.0004822534308456413,-891.4619999999995,10.004875721698632,0.08
292,313,33,0.5245406422721,0.0011811910781860438,0.4914879154281477,0.0004822534308456413,-831.4960000000003,10.004875721698632,0.08
293,314,34,0.5251071801549669,0.0011811910781860438,0.4927838264571834,0.0004822534308456413,-771.5299999999997,10.004875721698632,0.08
294,315,35,0.5236740825722462,0.0011811910781860438,0.4911941636537706,0.0004822534308456413,-711.5639999999994,10.004875721698632,0.08
295,316,36,0.5220667244849115,0.0011811910781860438,0.4897536156992412,0.0004822534308456413,-651.5980000000002,10.004875721698632,0.08
296,317,37,0.5218927699688922,0.0011811910781860438,0.4921425878277504,0.0004822534308456413,-591.6319999999996,10.004875721698632,0.08
297,318,38,0.5230936222083258,0.0011811910781860438,0.4899188510723283,0.0004822534308456413,-531.6660000000002,10.004875721698632,0.08
298,319,39,0.518828141199865,0.0011811910781860438,0.4895377797918482,0.0004822534308456413,-471.6999999999999,10.004875721698632,0.08
299,320,40,0.5207375100300512,0.0011811910781860438,0.4911843122223128,0.0004822534308456413,-411.73399999999947,10.004875721698632,0.08
300,321,41,0.5247350980239562,0.0011811910781860438,0.4943694591295454,0.0004822534308456413,-351.76800000000014,10.004875721698632,0.08
301,322,42,0.5226560585180748,0.0011811910781860438,0.4921837847229375,0.0004822534308456413,-291.8019999999997,10.004875721698632,0.08
302,323,43,0.5238812368507777,0.0011811910781860438,0.4888754949224826,0.0004822534308456413,-231.8359999999993,10.004875721698632,0.08
303,324,44,0.5196071881616685,0.0011811910781860438,0.4896859990560538,0.0004822534308456413,-171.86999999999992,10.004875721698632,0.08
