Offset,SLP,R1p,R1p err,R2eff,R2eff err,Sim R1p, Sim R2eff,Residual R1p, Residual R2eff
494.0,150.0,2.367974113747498,0.1161279407655979,7.7066406074339895,1.375656747551085,2.418874822981196,8.30961267127012,-0.05090070923369794,-0.6029720638361304
532.0,150.0,2.2867394534608225,0.12634327486147895,7.456490841191126,1.7155956759457112,2.3279734373656775,8.016400694459879,-0.041233983904855,-0.5599098532687528
190.0,150.0,4.751667020967509,0.14270538845149658,9.36591342737309,0.3716682561447867,4.6439818554000185,9.08545339616176,0.10768516556749042,0.2804600312113301
228.0,150.0,4.187465781435318,0.1376036917873399,9.528450062844179,0.45552326129280996,4.120742734939539,9.307570089724553,0.06672304649577843,0.22087997311962582
266.0,150.0,3.7651653220272276,0.13922739583249233,9.706825424794669,0.5770573344779956,3.7008983582164237,9.440457425810653,0.06426696381080399,0.2663679989840162
304.0,150.0,3.3809484201843563,0.12221523009168317,9.563360100139269,0.6241993502762606,3.3610803725063914,9.461886474941002,0.019868047677964906,0.10147362519826686
342.0,150.0,3.2434309473446707,0.12961810554416422,10.353174898977782,0.8034248654049476,3.084457727325547,9.367795292011246,0.15897322001912384,0.9853796069665357
380.0,150.0,2.8236638298093197,0.11947315908885729,8.907153419731973,0.8862253445302349,2.859777572481235,9.175037137596092,-0.03611374267191536,-0.2678837178641196
418.0,150.0,2.6980533685652124,0.1330080915011777,9.083646339908709,1.1658839039212565,2.6785792055644335,8.912945347745795,0.019474163000778866,0.17070099216291368
456.0,150.0,2.5794179940502695,0.11325041023909332,9.082420687788037,1.1598654015046979,2.533781837047269,8.615033422226105,0.04563615700300039,0.467387265561932
152.0,150.0,5.256299647410437,0.1664663104010588,8.727596556458336,0.3374013164235505,5.295148785525935,8.80633771621919,-0.038849138115498505,-0.07874115976085427
114.0,150.0,5.985933715368589,0.1599311114500962,8.359974864360662,0.25230732142367174,6.075800863446055,8.501749277167672,-0.08986714807746576,-0.14177441280700975
10.0,150.0,7.832327957729413,0.2001669631230561,7.858801630116146,0.20105659407026968,7.682508168435546,7.708315975092082,0.14981978929386752,0.1504856550240632
-532.0,150.0,2.078652827232523,0.1344057719778557,4.630914912667791,1.825075070122773,2.189190237090469,6.131885206420641,-0.11053740985794613,-1.5009702937528502
76.0,150.0,6.8460428513337295,0.15903741987929257,8.12197182285619,0.19986409264475008,6.905321458904661,8.196467907641775,-0.059278607570931285,-0.07449608478558467
38.0,150.0,7.494778960316778,0.19639055842419476,7.855395645036128,0.20899446804039643,7.542821723220287,7.90652168570109,-0.04804276290350895,-0.05112604066496207
-418.0,150.0,2.291994875901201,0.1385268992311151,5.52433611070129,1.2142590743981088,2.376167402765553,6.262151330181064,-0.08417252686435184,-0.7378152194797742
-380.0,150.0,2.5192985945692907,0.12132100561787129,6.6494397414403785,0.8999322594498987,2.4745742326300624,6.317684363322279,0.04472436193922835,0.33175537811809974
-494.0,150.0,2.2776264508772255,0.11394115025861787,6.636378177621058,1.3497519300147103,2.238272257173309,6.170186649929189,0.03935419370391635,0.4661915276918691
-456.0,150.0,2.230743971812341,0.11568847890870154,5.5114408216360715,1.1848351255913574,2.299275454921555,6.213312859047392,-0.06853148310921364,-0.7018720374113201
-76.0,150.0,6.026317534005911,0.16159670682956684,7.09181390851124,0.2030803769916814,6.112819847591187,7.200522327130673,-0.08650231358527538,-0.10870841861943337
-114.0,150.0,5.163880619774923,0.14653246511343992,7.063103900752093,0.23116961696296282,5.139442084297445,7.024549667182825,0.02443853547747743,0.03855423356926835
-10.0,150.0,7.5947804236729235,0.17227397352381402,7.620198329241626,0.1730396356283643,7.550939826505807,7.576162884975989,0.04384059716711608,0.04403544426563677
-38.0,150.0,7.14133270102975,0.19413136989110175,7.4792659902641905,0.20659028980766847,7.071967135391357,7.4054486967688264,0.06936556563839336,0.07381729349536403
-228.0,150.0,3.161531055670775,0.15307047377746374,6.1321957466732355,0.506724496392916,3.3127853254113835,6.632907881222546,-0.1512542697406083,-0.5007121345493104
-266.0,150.0,3.0049128354862473,0.12298575565919921,6.555798496578417,0.509740427989079,3.000329692553083,6.5368026931395224,0.004583142933164197,0.0189958034388944
-152.0,150.0,4.312744022781625,0.1456281039844651,6.815156080655122,0.29516551351589093,4.3416381293617645,6.873719940054263,-0.028894106580139578,-0.05856385939914155
-190.0,150.0,3.7806701924326247,0.14282835628440682,6.837006131722235,0.37198851903405517,3.745089335005122,6.744337765266606,0.03558085742750272,0.09266836645562826
-304.0,150.0,2.7942198196784447,0.12048093040390441,6.566715484328721,0.6153416265908924,2.772047750724201,6.453474352064461,0.022172068954243507,0.11324113226426036
