,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1,norm_intensity,norm_intensity_error,norm_volume,norm_volume_error,offset(hz),slp(hz),trelax(s),fit_norm_intensity
46,46,46,46,0.436563510974,0.00943492755493,0.440431503784,0.00418833317511,-476.3819,10.0,0.3,0.451538237571
47,47,47,47,0.443847271459,0.00943492755493,0.45146774144,0.00418833317511,-469.3467,10.0,0.3,0.451488260797
48,48,48,48,0.440154878828,0.00943492755493,0.442381463306,0.00418833317511,-462.3116,10.0,0.3,0.451427174593
49,49,49,49,0.439231804886,0.00943492755493,0.441863776725,0.00418833317511,-455.2764,10.0,0.3,0.451363009581
50,50,50,50,0.448850564693,0.00943492755493,0.450988229952,0.00418833317511,-448.2412,10.0,0.3,0.451303490419
51,51,51,51,0.454182503245,0.00943492755493,0.452672377714,0.00418833317511,-441.206,10.0,0.3,0.451251957337
52,52,52,52,0.457512833924,0.00943492755493,0.45264551376,0.00418833317511,-434.1709,10.0,0.3,0.451205033083
53,53,53,53,0.456306541911,0.00943492755493,0.463966751716,0.00418833317511,-427.1357,10.0,0.3,0.451153213492
54,54,54,54,0.462695608376,0.00943492755493,0.455207284697,0.00418833317511,-420.1005,10.0,0.3,0.451084197489
55,55,55,55,0.454736928769,0.00943492755493,0.464795090643,0.00418833317511,-413.0653,10.0,0.3,0.45098762221
56,56,56,56,0.453435423568,0.00943492755493,0.455715478001,0.00418833317511,-406.0302,10.0,0.3,0.450858979393
57,57,57,57,0.441032428663,0.00943492755493,0.441681384613,0.00418833317511,-398.995,10.0,0.3,0.450700754325
58,58,58,58,0.451469072664,0.00943492755493,0.451587720305,0.00418833317511,-391.9598,10.0,0.3,0.450520110379
59,59,59,59,0.450266751903,0.00943492755493,0.454437925279,0.00418833317511,-384.9246,10.0,0.3,0.450323817831
60,60,60,60,0.453053989655,0.00943492755493,0.442339450505,0.00418833317511,-377.8894,10.0,0.3,0.450112682287
61,61,61,61,0.448070940121,0.00943492755493,0.457201478851,0.00418833317511,-370.8543,10.0,0.3,0.449878083884
62,62,62,62,0.442309525193,0.00943492755493,0.447105681585,0.00418833317511,-363.8191,10.0,0.3,0.449602640504
